Subject,Message,Spam
"Free Vacation Offer!","Congratulations, you've won a free vacation! Click here to claim your prize.",1
"Meeting Reminder","Hi team, just a reminder about our meeting tomorrow at 10 AM.",0
"Limited Time Discount","Get 50% off on all electronics this weekend only!",1
"Project Update","Attached is the latest project update. Please review it by Friday.",0
"Urgent: Account Alert","Your account has been flagged for suspicious activity. Please log in to verify.",1
"Lunch Plans","Hey, are you free for lunch today?",0
"New Product Announcement","Introducing our latest innovation! Check it out now.",1
"Conference Details","Here are the details for the upcoming conference next month.",0
"You've Won!","You are the lucky winner of a brand new car!",1
"Follow Up on Interview","Thank you for your interest in the position. We will be in touch soon.",0
"Exclusive Offer","Claim your exclusive discount on designer handbags!",1
"Team Building Activity","Let's plan a fun team-building activity next week.",0
"Password Reset","You recently requested a password reset. Please click the link below.",0
"Get Rich Quick","Make thousands of dollars from home with our proven system!",1
"Doctor's Appointment","This is a reminder about your doctor's appointment next Tuesday.",0
"Last Chance!","This is your last chance to claim your free gift!",1
"Weekend Getaway","Thinking of going on a short trip this weekend. Any suggestions?",0
"Congratulations!","You've been selected to receive a special reward!",1
"Project Brainstorming","Let's brainstorm some new ideas for the project.",0
"Important Notice","Please be advised of the upcoming changes to our terms of service.",0
